File,Datetime,Selection,View,Channel,Begin Time (s),End Time (s),Low Freq (Hz),High Freq (Hz),Species Code,Common Name,Confidence
SYNC/Cam01/2020-07-26/UniFiVideo.Export.20200726.130001-20200726.121001/20200726.124001.JRNVR1Cam1.mp4,2020-07-26 05:40:01,21.0,Spectrogram 1,1.0,231.0,234.0,150.0,12000.0,caltow,California Towhee,0.3041
"SYNC/Cam09/2021-04-18/06 Camera 9 - 4-18-2021, 4.00.00am - 15.mp4",2021-04-18 04:00:00,95.0,Spectrogram 1,1.0,660.0,663.0,150.0,12000.0,eurgol,European Goldfinch,0.2761
SYNC/Cam10/2020-05-27/UniFiVideo.Export.20200527.203000-20200527.121000/20200527.192000.Cam10old.mp4,2020-05-27 12:20:00,39.0,Spectrogram 1,1.0,234.0,237.0,150.0,12000.0,bkcspa,Black-chinned Sparrow,0.2232
"SYNC/Cam01/2021-03-06/09 Camera 1 - 3-6-2021, 6.16.00am (8).mp4",2021-03-06 06:16:00,205.0,Spectrogram 1,1.0,3504.0,3507.0,150.0,12000.0,grypar,Gray Partridge,0.146
scrubbed/Scrubbed_Files_03/marsh1/20200801/proc_marsh1_PST_D20200801T055339m276.wav,2020-08-01 05:53:39,1.0,Spectrogram 1,1.0,0.0,3.0,150.0,12000.0,comyel,Common Yellowthroat,0.565
SYNC/Cam10/2020-05-23/UniFiVideo.Export.20200524.042001-20200523.210001/20200524.030000.JRNVR1Cam10.mp4,2020-05-23 20:00:00,82.0,Spectrogram 1,1.0,342.0,345.0,150.0,12000.0,bkcspa,Black-chinned Sparrow,0.1408
SYNC/Cam07/2020-05-20/UniFiVideo.Export.20200520.210000-20200520.071000/20200520.191000.JRNVR1Cam7.mp4,2020-05-20 12:10:00,19.0,Spectrogram 1,1.0,84.0,87.0,150.0,12000.0,kinrai4,King Rail,0.1834
classified/upperlake1/20200628/proc_upperlake1_PST_D20200628T032520m996.wav,2020-06-28 03:25:20,2.0,Spectrogram 1,1.0,3.0,6.0,150.0,12000.0,barswa,Barn Swallow,0.7583
"SYNC/Cam01/2021-04-04/09 Camera 1 - 4-4-2021, 6.02.00am (2).mp4",2021-04-04 06:02:00,420.0,Spectrogram 1,1.0,3087.0,3090.0,150.0,12000.0,spotow,Spotted Towhee,0.6828
SYNC/Cam10/2020-05-27/UniFiVideo.Export.20200527.203000-20200527.121000/20200527.200000.Cam10old.mp4,2020-05-27 13:00:00,21.0,Spectrogram 1,1.0,420.0,423.0,150.0,12000.0,canwre,Canyon Wren,0.2825
"SYNC/Cam09/2021-02-14/06 Camera 9 - 2-14-2021, 4.00.00am (10).mp4",2021-02-14 04:00:00,30.0,Spectrogram 1,1.0,666.0,669.0,150.0,12000.0,cowscj1,California Scrub-Jay,0.1489
SYNC/Cam10/2020-05-28/UniFiVideo.Export.20200529.042000-20200528.211000/20200529.031000.Cam10old.mp4,2020-05-28 20:10:00,135.0,Spectrogram 1,1.0,573.0,576.0,150.0,12000.0,wrenti,Wrentit,0.3378
"SYNC/Cam02/2021-04-21/10 Camera 2 - 4-21-2021, 6.10.00am (2).mp4",2021-04-21 06:10:00,199.0,Spectrogram 1,1.0,1224.0,1227.0,150.0,12000.0,bewwre,Bewick's Wren,0.8629
SYNC/Cam10/2020-10-31/UniFiVideo.Export.20201031.174000-20201031.140000/20201031.144000.JRNVR1Cam10.mp4,2020-10-31 07:40:00,15.0,Spectrogram 1,1.0,30.0,33.0,150.0,12000.0,norfli,Northern Flicker,0.3867
scrubbed/Scrubbed_Files_01/lake2/20141010/proc_lake2_PST_D20141010T060700m910.wav,2014-10-10 06:07:00,1.0,Spectrogram 1,1.0,0.0,3.0,150.0,12000.0,blkpho,Black Phoebe,0.5589
"SYNC/Cam07/2021-04-16/04 Camera 7 - 4-16-2021, 4.00.00am (7).mp4",2021-04-16 04:00:00,148.0,Spectrogram 1,1.0,720.0,723.0,150.0,12000.0,wlwwar,Willow Warbler,0.1481
"SYNC/Cam09/2021-02-18/06 Camera 9 - 2-18-2021, 4.00.00am (9).mp4",2021-02-18 04:00:00,79.0,Spectrogram 1,1.0,1569.0,1572.0,150.0,12000.0,reshaw,Red-shouldered Hawk,0.151
"SYNC/Cam01/2021-03-03/09 Camera 1 - 3-3-2021, 6.16.00am (4).mp4",2021-03-03 06:16:00,45.0,Spectrogram 1,1.0,2034.0,2037.0,150.0,12000.0,caltow,California Towhee,0.1066
"SYNC/Cam07/2021-04-22/04 Camera 7 - 4-22-2021, 4.00.00am - 5.mp4",2021-04-22 04:00:00,369.0,Spectrogram 1,1.0,2193.0,2196.0,150.0,12000.0,nopowl,Northern Pygmy-Owl,0.1524
SYNC/Cam02/2020-12-31/UniFiVideo.Export.20201231.172001-20201231.143000/20201231.154001.JRNVR1Cam2.mp4,2020-12-31 08:40:01,14.0,Spectrogram 1,1.0,378.0,381.0,150.0,12000.0,calthr,California Thrasher,0.1096
scrubbed/Scrubbed_Files_03/lake1/20210107/proc_lake1_PST_D20210107T005412m153.wav,2021-01-07 00:54:12,1.0,Spectrogram 1,1.0,0.0,3.0,150.0,12000.0,mallar3,Mallard,0.351
"SYNC/Cam02/2021-03-24/10 Camera 2 - 3-24-2021, 6.10.00am (3).mp4",2021-03-24 06:10:00,16.0,Spectrogram 1,1.0,30.0,33.0,150.0,12000.0,bacspa,Bachman's Sparrow,0.5185
SYNC/Cam02/2020-08-25/UniFiVideo.Export.20200826.032001-20200825.131001/20200826.013001.JRNVR1Cam2.mp4,2020-08-26 06:00:01,10.0,Spectrogram 1,1.0,510.0,513.0,150.0,12000.0,wrenti,Wrentit,0.2569
"SYNC/Cam07/2021-03-20/04 Camera 7 - 3-20-2021, 4.00.00am (5).mp4",2021-03-20 04:00:00,301.0,Spectrogram 1,1.0,2538.0,2541.0,150.0,12000.0,lesgol,Lesser Goldfinch,0.2249
scrubbed/Scrubbed_Files_03/upperlake1/20200429/proc_upperlake1_PST_D20200429T180147m520.wav,2020-04-29 18:01:47,2.0,Spectrogram 1,1.0,3.0,6.0,150.0,12000.0,yelgro,Yellow Grosbeak,0.2095
SYNC/Cam10/2020-05-22/UniFiVideo.Export.20200523.042001-20200522.211001/20200523.023001.JRNVR1Cam10.mp4,2020-05-23 16:00:01,102.0,Spectrogram 1,1.0,570.0,573.0,150.0,12000.0,spotow,Spotted Towhee,0.6884
scrubbed/Scrubbed_Files_01/marsh1/20160902/proc_marsh1_PST_D20160902T222853m364.wav,2016-09-02 22:28:53,1.0,Spectrogram 1,1.0,0.0,3.0,150.0,12000.0,graher1,Gray Heron,0.1211
"SYNC/Cam09/2021-03-26/06 Camera 9 - 3-26-2021, 4.00.00am (4).mp4",2021-03-26 04:00:00,386.0,Spectrogram 1,1.0,2067.0,2070.0,150.0,12000.0,caltow,California Towhee,0.458
"SYNC/Cam10/2021-04-08/11 Camera 10 - 4-8-2021, 5.57.00am (6).mp4",2021-04-08 05:57:00,18.0,Spectrogram 1,1.0,282.0,285.0,150.0,12000.0,lesgol,Lesser Goldfinch,0.1552
"SYNC/Cam09/2021-04-16/06 Camera 9 - 4-16-2021, 4.00.00am (9).mp4",2021-04-16 04:00:00,207.0,Spectrogram 1,1.0,3042.0,3045.0,150.0,12000.0,astfly,Ash-throated Flycatcher,0.8613
"SYNC/Cam07/2021-04-10/04 Camera 7 - 4-10-2021, 4.00.00am (3).mp4",2021-04-10 04:00:00,81.0,Spectrogram 1,1.0,240.0,243.0,150.0,12000.0,leabit,Least Bittern,0.1283
SYNC/Cam10/2020-11-03/UniFiVideo.Export.20201104.012000-20201103.180001/20201104.010000.JRNVR1Cam10.mp4,2020-11-04 03:00:00,6.0,Spectrogram 1,1.0,282.0,285.0,150.0,12000.0,snobun,Snow Bunting,0.1108
"SYNC/Cam02/2021-04-01/10 Camera 2 - 4-1-2021, 6.10.00am (9).mp4",2021-04-01 06:10:00,44.0,Spectrogram 1,1.0,288.0,291.0,150.0,12000.0,pinwar,Pine Warbler,0.1139
"SYNC/Cam02/2021-04-12/10 Camera 2 - 4-12-2021, 6.13.00am (7).mp4",2021-04-12 06:13:00,294.0,Spectrogram 1,1.0,2481.0,2484.0,150.0,12000.0,gadwal,Gadwall,0.1122
